Name,Price,Discount,Rating,Offers,Capacity,Seller Name,Highlights,Services,Description
HyperX Fury RGB 960 GB Desktop Internal Solid State Dri...,"₹19,700",,4.1,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*","240 GB,960 GB",RetailNet,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 960 GB,Desktop","Limited 3 Years Warranty with Free Technical Support,Cash on Delivery available,No Returns Applicable,GST invoice available",
"EVM SATA 256 GB All in One PC's, Desktop, Laptop Intern...","₹1,740",56% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,netcomiits,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 256 GB,All in One PC's, Desktop, Laptop","Cash on Delivery available,No Returns Applicable",
"EVM SATA 512 GB Laptop, Desktop, All in One PC's Intern...","₹3,200",59% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,A1PRICEA1PRODUCTS,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 512 GB,Laptop, Desktop, All in One PC's","Cash on Delivery available,No Returns Applicable","Power Efficiency - SSDs consumes less power than HDDs, which Saves battery life of your laptop or desktops While using SSD Device .
Directions to use - Simply remove the old drive and replace it with the new SSD. installing an SSD is simple process & can be done in just a few minutes."
"SAMSUNG 860 Pro 512 GB Laptop, Desktop Internal Solid S...","₹12,080",6% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 4% off (price inclusive of cashback/coupon)","512 GB,1 TB",MPDSLERetail,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 512 GB,Laptop, Desktop","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
HP S600 2.5 120 GB Laptop Internal Solid State Drive (S...,"₹1,800",48% off,4.8,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,GLOBALINDIACORPORATION,"Type: SSD,Interface: SATA II,Form Factor: 2.5 Inch,Capacity: 120 GB,Laptop","Cash on Delivery available,No Returns Applicable","The case 2.5 inch SSD design has a significantly smaller footprint than a 2.5 inch hard disk drive (HDD), and enables fast read/write access times and a significant I/O and throughput performance improvement as compared to HDDs. This design makes it ideal for new and innovative small form factor computing platforms that have size and weight requirements that traditional 2.5 inch HDD s cannot meet; such as, notebook, thin-and-light systems, mini-and sub-notebooks, all in-one computers, and embedded platforms"
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
"EVM SATA 128 GB Desktop, Laptop, All in One PC's Intern...","₹1,270",57% off,4.1,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,A1PRICEA1PRODUCTS,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 128 GB,Desktop, Laptop, All in One PC's","Cash on Delivery available,No Returns Applicable",
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
WD My Passport 500 GB Wired External Solid State Drive ...,"₹7,559",61% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 3% off (price inclusive of cashback/coupon)",500 GB,MPDSLERetail,"Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1, USB 3.0, USB 2.0","5 Years Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
WD My Passport 256 GB Wired External Solid State Drive ...,"₹6,687",28% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*","256 GB,1 TB",RetailNet,"Portable Hard Drive,Capacity: 256 GB,Connectivity: USB 3.0, USB 3.1, USB 2.0","3 Years Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
WD My Passport Go 500 GB External Solid State Drive (SS...,"₹6,434",18% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 4% off (price inclusive of cashback/coupon)","500 GB,1 TB",MPDSLERetail,"Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.0","3 Years Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
"EVM NVME 256 GB Laptop, Desktop Internal Solid State Dr...","₹1,975",67% off,3.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 9% off (price inclusive of cashback/coupon)",,KrishnaTechRetail18,"Type: SSD,Interface: PCIe NVMe,Form Factor: M.2,Capacity: 256 GB,Laptop, Desktop","5 YEARS SERVICE CENTRE WARRANTY,Cash on Delivery available,No Returns Applicable","(1) Form Factor M.2 NVMe
(2) Interface Pcle Gen 3x4
(3)Shock resistance 1500G/0.5ms
(4) MTBF 2,000,000 hours
(5) Performance Read (max.) Sequential Read:up to 1800MB/s
(6)Performance Write (max) Sequential Write:up to 1000MB/s
(7) Storage Temperature -40*C to 85*C
(8) Operating Temperature 0*C to 70*C
(9) Dimensions 80mm x 22mm x 3.75mm"
"Simmtronics S930P 256 GB Desktop, Laptop, All in One PC...","₹1,835",69% off,5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Buy This Product and get ₹500 Off on Next AC Purchase*",,COCORED,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 256 GB,Desktop, Laptop, All in One PC's","Cash on Delivery available,No Returns Applicable",
Nextron NFORCE 512 GB Laptop Internal Solid State Drive...,"₹2,950",54% off,,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 28% off (price inclusive of cashback/coupon)",,AxisCom,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 512 GB,Laptop","5YRS AT SERVICE CENTER,Cash on Delivery available,No Returns Applicable","Advantages Take your desktop or laptop to the next level at an Economical cost. Increase durability with robust and vibrational resistance (20G/.5ms). 5 Yr Limited Warranty. Upgrade your lagging system with powerfull 6.0Gbps (SATA – III) form factor. Improve existing system performance with read write speed 500MB/sec & 450MB/sec respectively. Power efficient with 5.0V +- 10%. Be working longer with extended battery life in your systems., Compatible with windows console like ps4 , xbox with SATA Connection"
